lang,image,scenario,target,rows,base_mb,peak_mb,over_base_mb,seconds
python,python312,engine_generate,file,50000000,67,365,299,6.1
python,python312,file_read_parquet,file,50000000,67,407,340,2.0
python,python312,file_read_csv,file,50000000,67,589,522,3.3
python,python312,frame_pandas_register,file,50000000,907,1264,356,3.0
python,python312,frame_pandas_register_only,file,50000000,907,910,3,0.1
python,python312,frame_pandas_append,file,50000000,909,1270,361,5.6
python,python312,frame_arrow_register,file,50000000,906,1217,310,7.4
python,python312,frame_polars_register,file,50000000,864,1242,378,7.9
python,python312,stream_arrow_reader_generator,file,50000000,95,915,820,5.8
python,python312,chunks_pandas_append,file,50000000,143,563,421,12.8
python,python312,stream_stdin_csv,file,50000000,67,401,334,20.6
python,python312,stream_stdin_arrow,file,50000000,92,907,814,6.9
python,python312,frame_parquet_roundtrip,file,50000000,908,1315,407,9.1
python,python312,frame_pandas_register,memory,50000000,907,1290,383,3.4
python,python312,frame_arrow_register,memory,50000000,906,1216,310,4.0
python,python312,stream_arrow_reader_generator,memory,50000000,95,853,758,3.7
r,dev,engine_generate,file,50000000,137,427,289,6.7
r,dev,file_read_parquet,file,50000000,138,446,308,4.1
r,dev,file_read_csv,file,50000000,138,589,451,6.6
r,dev,file_duckdb_read_csv,file,50000000,138,615,477,6.9
r,dev,frame_dbWriteTable,file,50000000,900,1203,304,10.9
r,dev,frame_dbAppendTable,file,50000000,900,1179,279,8.2
r,dev,frame_register_only,file,50000000,900,900,1,0.2
r,dev,frame_arrow_register,file,50000000,900,1328,429,5.5
r,dev,frame_nanoarrow_register,file,50000000,900,1254,354,9.3
