lang,image,scenario,target,rows,base_mb,peak_mb,over_base_mb,seconds
python,python312,engine_generate,file,50000000,67,365,299,6.1
python,python312,file_read_parquet,file,50000000,67,407,340,2.0
python,python312,file_read_csv,file,50000000,67,589,522,3.3
python,python312,frame_pandas_register,file,50000000,907,1264,356,3.0
python,python312,frame_pandas_register_only,file,50000000,907,910,3,0.1
python,python312,frame_pandas_append,file,50000000,909,1270,361,5.6
python,python312,frame_arrow_register,file,50000000,906,1217,310,7.4
python,python312,frame_polars_register,file,50000000,864,1242,378,7.9
python,python312,stream_arrow_reader_generator,file,50000000,95,915,820,5.8
python,python312,chunks_pandas_append,file,50000000,143,563,421,12.8
python,python312,stream_stdin_csv,file,50000000,67,401,334,20.6
python,python312,stream_stdin_arrow,file,50000000,92,907,814,6.9
python,python312,frame_parquet_roundtrip,file,50000000,908,1315,407,9.1
python,python312,frame_pandas_register,memory,50000000,907,1290,383,3.4
python,python312,frame_arrow_register,memory,50000000,906,1216,310,4.0
python,python312,stream_arrow_reader_generator,memory,50000000,95,853,758,3.7
r,dev,engine_generate,file,50000000,137,427,289,6.7
r,dev,file_read_parquet,file,50000000,138,446,308,4.1
r,dev,file_read_csv,file,50000000,138,589,451,6.6
r,dev,file_duckdb_read_csv,file,50000000,138,615,477,6.9
r,dev,frame_dbWriteTable,file,50000000,900,1203,304,10.9
r,dev,frame_dbAppendTable,file,50000000,900,1179,279,8.2
r,dev,frame_register_only,file,50000000,900,900,1,0.2
r,dev,frame_arrow_register,file,50000000,900,1328,429,5.5
r,dev,frame_nanoarrow_register,file,50000000,900,1254,354,9.3
r,dev,frame_nanoparquet_roundtrip,file,50000000,900,1264,364,9.2
r,dev,chunks_dbAppendTable,file,50000000,138,563,426,11.5
r,dev,stream_stdin_csv,file,50000000,138,453,315,21.0
r,dev,frame_dbWriteTable,memory,50000000,880,1200,320,4.0
r,dev,frame_nanoarrow_register,memory,50000000,880,1253,374,6.2
r,dev,chunks_dbAppendTable,memory,50000000,118,492,374,8.5
r,cran,frame_dbWriteTable,file,50000000,863,1183,320,7.0
r,cran,frame_nanoarrow_register,file,50000000,863,1255,392,8.8
r,cran,chunks_dbAppendTable,file,50000000,100,526,426,12.2
r,cran,stream_stdin_csv,file,50000000,101,429,328,20.8
node,node22,engine_generate,file,50000000,91,390,299,6.1
node,node22,file_read_parquet,file,50000000,92,429,337,3.7
node,node22,file_read_csv,file,50000000,91,541,450,6.3
node,node22,stream_appender_rows,file,50000000,92,408,316,20.5
node,node22,stream_appender_chunks,file,50000000,93,424,331,14.3
node,node22,frame_arrays_appender_chunks,file,50000000,856,1210,354,12.0
node,node22,stream_table_function,file,50000000,92,426,334,9.4
node,node22,stream_stdin_csv,file,50000000,92,422,330,20.8
go,go125,engine_generate,file,50000000,35,335,300,5.6
go,go125,file_read_parquet,file,50000000,35,383,348,3.2
go,go125,file_read_csv,file,50000000,35,467,432,5.5
go,go125,stream_appender_rows,file,50000000,36,387,351,13.3
go,go125,frame_slices_appender,file,50000000,800,1926,1126,13.6
go,go125,stream_arrow_view,file,50000000,35,535,500,2.3
go,go125,stream_stdin_csv,file,50000000,36,369,333,19.0
go,go125,frame_slices_appender_gogc20,file,50000000,800,1294,494,12.9
go,go125,stream_appender_rows_gogc20,file,50000000,36,381,345,13.3
rust,rust,engine_generate,file,50000000,23,318,295,4.6
rust,rust,file_read_parquet,file,50000000,22,341,319,2.1
rust,rust,file_read_csv,file,50000000,23,453,430,2.8
rust,rust,stream_appender_rows,file,50000000,24,334,310,10.5
rust,rust,frame_vec_appender,file,50000000,787,1097,310,10.8
rust,rust,stream_append_record_batches,file,50000000,24,350,326,5.2
rust,rust,frame_arrow_vtab,file,50000000,786,1083,298,4.2
rust,rust,stream_stdin_csv,file,50000000,24,348,324,21.1
python,python312,stream_arrow_reader_generator_syspool,file,50000000,94,775,680,3.6
python,python312,stream_stdin_arrow_syspool,file,50000000,93,941,849,3.1
python,python312,stream_reader_only_slow,file,50000000,151,181,30,1.6
python,python312,stream_scanner_only_slow,file,50000000,151,297,146,1.3
python,python312,stream_arrow_reader_generator_noorder,file,50000000,95,702,608,2.7
python,python312,stream_arrow_reader_generator_chunks,file,50000000,95,551,455,7.6
python,python312,dataset_arrow_scanner,file,50000000,151,950,799,3.1
r,dev,stream_stdin_arrow_dbAppendTableArrow,file,50000000,138,643,505,14.7
r,dev,dataset_arrow_to_duckdb,file,50000000,137,1174,1036,3.9
python,python312,stream_arrow_reader_generator_count,file,50000000,94,264,169,1.4
python,python312,stream_arrow_reader_generator_1thread,file,50000000,95,949,854,6.7
python,python312,dataset_arrow_scanner_count,file,50000000,151,434,283,0.3
python,python312,dataset_arrow_scanner_1thread,file,50000000,149,1395,1246,6.1
r,dev,dataset_arrow_to_duckdb_count,file,50000000,137,486,349,0.7
r,dev,dataset_arrow_to_duckdb_1thread,file,50000000,137,1572,1435,6.9
python,python312,stream_reader_only_slower,file,50000000,151,181,30,8.2
python,python312,stream_scanner_only_slower,file,50000000,151,686,535,7.7
